time|position|velocity|acceleration|rotation|rotational velocity|rotational acceleration|sun|charge
47|3188238.260396979,4235165.132983564,-1519846.1840241656|-6760.728164193447,6132.242084979918,1799.1852681080713|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999543303,-0.000009556902132609217,0|10
48|3171473.2542444337,4250319.712046158,-1515379.738312243|-6779.43982882899,6107.27593710493,1808.1155670446483|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999524076,-0.000009756004260365657,0|10
49|3154663.669311396,4265410.914833441,-1510891.6499174654|-6798.043110061829,6082.2337219053925,1817.0149275447855|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999504453,-0.00000995510638812171,0|10
50|3137809.8175044023,4280438.535363028,-1506382.009092227|-6816.537659478049,6057.116161251144,1825.8831591153219|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999484434,-0.000010154208515877367,0|10
51|3120912.011803016,4295402.369860702,-1501850.9066741788|-6834.92313453086,6031.92397954415,1834.720073087258|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999464018,-0.000010353310643632622,0|10
52|3103970.566242082,4310302.216768197,-1497298.4340807234|-6853.199198556631,6006.65790365449,1843.5254826274231|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999443205,-0.000010552412771387467,0|10
53|3086985.7958939457,4325137.876750797,-1492724.6833034793|-6871.365520790168,5981.3186628562335,1852.2992027498897|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999421997,-0.000010751514899141893,0|10
54|3069958.0168506037,4339909.152704746,-1488129.7469027038|-6889.42177637924,5955.906988763134,1861.041050327134|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999400392,-0.000010950617026895893,0|10
55|3052887.5462058145,4354615.849764477,-1483513.7180016846|-6907.367646398332,5930.423615264237,1869.750844100941|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999378391,-0.000011149719154649459,0|10
56|3035774.702037152,4369257.775309639,-1478876.6902810931|-6925.202817861657,5904.869278459363,1878.4284046930568|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999355993,-0.000011348821282402583,0|10
57|3018619.8033880186,4383834.73897195,-1474218.757973305|-6942.926983735419,5879.244716594498,1887.0735546155795|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999333199,-0.000011547923410155257,0|10
58|3001423.170249611,4398346.552641855,-1469540.0158566884|-6960.5398429492725,5853.550669997079,1895.686118281095|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999310009,-0.000011747025537907473,0|10
59|2984185.123542848,4412793.030475011,-1464840.5592498602|-6978.041100407094,5827.787881011223,1904.2659220125558|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999286421,-0.000011946127665659223,0|10
60|2966905.9851002395,4427173.988898551,-1460120.4840059027|-6995.430466996939,5801.957093932885,1912.8127940528955|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999262437,-0.000012145229793410501,0|10
61|2949586.077647755,4441489.246617197,-1455379.8865065644|-7012.707659600277,5776.059054944959,1921.3265645743875|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999238056,-0.000012344331921161298,0|10
62|2932225.724786608,4455738.624619152,-1450618.8636564116|-7029.872401100452,5750.09451205232,1929.8070656877383|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999213279,-0.000012543434048911603,0|10
63|2914825.250975045,4469921.946181824,-1445837.5128769646|-7046.924420390413,5724.064215016875,1938.2541314509242|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999188106,-0.000012742536176661412,0|10
64|2897384.9815100855,4484039.036877352,-1441035.9321007987|-7063.863452379668,5697.968915292546,1946.667597877761|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999162537,-0.000012941638304410716,0|10
65|2879905.2425092263,4498089.724577935,-1436214.219765615|-7080.689238000504,5671.809365960278,1955.0473029462119|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999136571,-0.000013140740432159507,0|10
66|2862386.3608921375,4512073.839460992,-1431372.4748082892|-7097.401524213455,5645.586321663035,1963.393086606435|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999110208,-0.000013339842559907778,0|10
67|2844828.664362312,4525991.214014103,-1426510.7966588887|-7114.00006401201,5619.300538540804,1971.7047907885617|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999999908345,-0.00001353894468765552,0|10
68|2827232.4813886983,4539841.683039787,-1421629.2852346625|-7130.4846164266055,5592.95277416563,1979.9822594102172|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999056295,-0.000013738046815402723,0|10
69|2809598.141187321,4553625.0836600745,-1416728.0409340113|-7146.854946527838,5566.543787476687,1988.2253383837692|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999028744,-0.000013937148943149383,0|10
70|2791925.973702865,4567341.25532089,-1411807.164630427|-7163.110825428965,5540.074338715378,1996.4338756233199|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999000796,-0.00001413625107089549,0|10
71|2774216.309590254,4580990.039796251,-1406866.75766641|-7179.252030287651,5513.545189360523,2004.6077210514254|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998972452,-0.000014335353198641037,0|10
72|2756469.4801962064,4594571.281192268,-1401906.9218473635|-7195.278344306985,5486.957102063572,2012.7467266055576|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998943712,-0.000014534455326386016,0|10
73|2738685.817540788,4608084.825950967,-1396927.7594354665|-7211.189556735763,5460.310840583931,2020.8507462442924|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998914575,-0.000014733557454130418,0|10
74|2720865.654298935,4621530.522853907,-1391929.3731435193|-7226.985462868043,5433.6071697243615,2028.9196359532434|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998885042,-0.000014932659581874235,0|10
75|2703009.323781985,4634908.223025618,-1386911.8661287748|-7242.665864041957,5406.846855266467,2036.9532537507187|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998855111,-0.00001513176170961746,0|10
76|2685117.1599191935,4648217.779936842,-1381875.341986745|-7258.230567637836,5380.030663906325,2044.9514596931263|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998824785,-0.000015330863837360086,0|10
77|2667189.4972392423,4661459.049407589,-1376819.904744987|-7273.679387075559,5353.1593631901815,2052.914115880099|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998794061,-0.000015529965965102106,0|10
78|2649226.6708517494,4674631.8896100065,-1371745.6588568748|-7289.012141811245,5326.2337214503395,2060.841086459372|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998762942,-0.00001572906809284351,0|10
79|2631550.7065793476,4687502.758309826,-1366743.8181314734|-7303.957954143862,5299.736744735501,2068.591639089067|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998731426,-0.00001592817022058429,0|10
80|2613519.173310845,4700539.55199276,-1361632.6011729701|-7319.060142119202,5272.705664913647,2076.447482239443|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998699514,-0.000016127272348324438,0|10
81|2595453.4789465894,4713507.507448058,-1356502.889529624|-7334.045762782482,5245.622539381646,2084.267246856283|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998667205,-0.000016326374476063944,0|10
82|2577353.960726123,4726406.492239071,-1351354.7892882966|-7348.914659579759,5218.4881389685615,2092.0508052862215|0,0,0|0,0,0|0,0,0|0,0,0|-0.99999999986345,-0.000016525476603802805,0|10
83|2559220.9563778155,4739236.376292739,-1346188.4069303612|-7363.666681966131,5191.303234972218,2099.7980319443222|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998601399,-0.00001672457873154101,0|10
84|2541054.8041003766,4751997.0319013195,-1341003.849325367|-7378.301685398184,5164.068599096041,2107.5088033173733|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998567901,-0.000016923680859278554,0|10
85|2522855.8425444197,4764688.333723947,-1335801.2237247033|-7392.819531325756,5136.785003386115,2115.1829979669214|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998534007,-0.000017122782987015427,0|10
86|2504624.4107939894,4777310.158787985,-1330580.6377552329|-7407.220087183008,5109.453220168414,2122.820496532045|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998499717,-0.000017321885114751622,0|10
87|2486360.8483481454,4789862.386490207,-1325342.1994129287|-7421.503226378835,5082.074021986288,2130.421181731869|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999999846503,-0.000017520987242487127,0|10
88|2468065.4951025303,4802344.898597772,-1320086.0170564866|-7435.66882828657,5054.648181538162,2137.984938367822|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998429947,-0.000017720089370221936,0|10
89|2449738.691330987,4814757.579249044,-1314812.199400938|-7449.716778233054,5027.176471615474,2145.5116533256296|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998394468,-0.000017919191497956045,0|10
90|2431380.7776671685,4827100.31495419,-1309520.8555112423|-7463.646967487002,4999.659665040849,2153.001215577058|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998358592,-0.000018118293625689445,0|10
91|2412992.0950861806,4839372.99459562,-1304212.0947958734|-7477.459293246753,4972.098534606556,2160.4535161813974|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999999832232,-0.000018317395753422127,0|10
92|2394902.162413448,4851358.223281978,-1298981.2864846853|-7490.910151334421,4944.987171185492,2167.736367084196|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999999828565,-0.000018516497881154084,0|10
93|2376453.5004506735,4863491.722694804,-1293638.3278075382|-7504.48857417763,4917.340468111337,2175.1144960001525|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998248584,-0.000018715600008885302,0|10
94|2357975.088254025,4875554.8487624945,-1288278.2805527404|-7517.948862034737,4889.651744971085,2182.4550507981376|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998211122,-0.00001891470213661578,0|10
95|2339467.2679767525,4887547.4998147,-1282901.2554329173|-7531.290935582013,4861.921773830789,2189.7579308599493|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998173263,-0.00001911380426434551,0|10
96|2320930.3820225005,4899469.576552736,-1277507.3634721413|-7544.5147213545315,4834.151326423558,2197.02303765852|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998135009,-0.00001931290639207448,0|10
97|2302364.7730271327,4911320.982048899,-1272096.7159994785|-7557.620151730083,4806.341174089722,2204.250274757895|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998096357,-0.000019512008519802687,0|10
98|2283770.7838405715,4923101.621745637,-1266669.4246425242|-7570.607164912427,4778.492087717284,2211.439547812956|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999999805731,-0.00001971111064753012,0|10
99|2265148.7575087,4934811.403454524,-1261225.6013209461|-7583.475704913953,4750.604837682733,2218.590764568902|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999998017866,-0.000019910212775256772,0|10
100|2246499.037255275,4946450.237355053,-1255765.3582400093|-7596.225721537745,4722.680193792156,2225.7038348604865|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997978025,-0.000020109314902982634,0|10
101|2227821.9664639058,4958018.035993259,-1250288.8078841118|-7608.857170359003,4694.718925222729,2232.7786706110037|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997937788,-0.0000203084170307077,0|10
102|2209117.888660059,4969514.714280156,-1244796.063010312|-7621.370012705907,4666.721800464515,2239.815185831039|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997897155,-0.000020507519158431958,0|10
103|2190721.856836985,4980736.788005304,-1239385.7489060813|-7633.543931118381,4639.1904657487985,2246.6886676036434|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997856126,-0.000020706621286155404,0|10
104|2171965.2630403647,4992092.253383356,-1233861.2384776976|-7645.821586666605,4611.124537209441,2253.6489800958852|0,0,0|0,0,0|0,0,0|0,0,0|-0.99999999978147,-0.00002090572341387803,0|10
105|2153182.6873388765,5003376.358687077,-1228320.8713442076|-7657.980554377322,4583.025039580242,2260.570728002669|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997772878,-0.000021104825541599826,0|10
106|2134374.4736453397,5014589.02822623,-1222764.7612842359|-7670.02081828636,4554.8927380451205,2267.453833629316|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999999773066,-0.000021303927669320785,0|10
107|2115540.965925507,5025730.188665178,-1217193.0223168244|-7681.9423680784685,4526.728396816476,2274.2982213586465|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997688045,-0.0000215030297970409,0|10
108|2096682.5081803647,5036799.769020276,-1211605.768694966|-7693.745199064735,4498.532779079251,2281.103817648313|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997645033,-0.000021702131924760165,0|10
109|2077799.444428483,5047797.700657098,-1206003.1148991375|-7705.429312159453,4470.306646935388,2287.8705510278996|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997601624,-0.00002190123405247857,0|10
110|2059229.9602686677,5058529.435528576,-1200485.6293497528|-7716.789229760512,4442.555587242218,2294.478554586797|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997557819,-0.000022100336180196106,0|10
111|2040299.1406319996,5069385.155521708,-1194852.7894189237|-7728.238051602474,4414.2712190724,2301.1680530076515|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997513618,-0.000022299438307912762,0|10
112|2021344.7408324191,5080169.036037879,-1189204.8919983115|-7739.568191313414,4385.95860222068,2307.818487653918|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999999746902,-0.000022498540435628537,0|10
113|2002367.104784659,5090881.017766694,-1183542.0524102333|-7750.779671880386,4357.618493933526,2314.4297952726592|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997424026,-0.000022697642563343418,0|10
114|1983366.5763340145,5101521.043730621,-1177864.3861723559|-7761.872521770497,4329.251650103884,2321.0019146650543|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997378636,-0.0000228967446910574,0|10
115|1964343.4992390596,5112089.0592812225,-1172172.0089912636|-7772.846774904641,4300.858825218159,2327.534786682162|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997332849,-0.000023095846818770476,0|10
116|1945298.2171544342,5122585.01209519,-1166465.036756034|-7783.702470630744,4272.440772303664,2334.0283542204616|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997286666,-0.000023294948946482636,0|10
117|1926231.073613692,5133008.852170251,-1160743.5855318215|-7794.439653696507,4243.998242876477,2340.482562217184|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997240087,-0.00002349405107419387,0|10
118|1907483.4676751846,5143176.313449189,-1155110.3220778|-7804.869792712523,4216.040516612691,2346.7831536395597|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997193111,-0.000023693153201904174,0|10
119|1888374.0063660743,5153457.077075972,-1149360.515120963|-7815.372220055518,4187.551686178296,2353.1591906451404|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997145739,-0.00002389225532961354,0|10
