time|position|velocity|acceleration|rotation|rotational velocity|rotational acceleration|sun|charge
3660|-4289675.444140134,-6621804.227264214,2131903.724985677|5136.975017427469,-3302.7687830144578,-1494.8684733998575|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997343428205,-0.0007289128252032376,0|9.620636394409308
3661|-4287211.100272788,-6623387.865615486,2131186.5225051357|5138.477030333203,-3300.449240898919,-1495.6150399477622|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997341976725,-0.000729111927278096,0|9.620775485700188
3662|-4284776.513850008,-6624950.834697467,2130477.8347019223|5139.9597344928425,-3298.157664210106,-1496.352183742495|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997340524849,-0.0007293110293529253,0|9.620914577046335
3663|-4282340.49836925,-6626513.18396077,2129768.5860988726|5141.442144436449,-3295.8646988992696,-1497.089354911779|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997339072576,-0.0007295101314277257,0|9.621053668447747
3664|-4279871.793806269,-6628094.930966216,2129049.672366831|5142.943259556149,-3293.5409194756503,-1497.8360049913306|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997337619907,-0.0007297092335024973,0|9.621192759904424
3665|-4277401.62036683,-6629676.040971128,2128330.1822174694|5144.444072500029,-3291.215712202602,-1498.5826833423414|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997336166841,-0.00072990833557724,0|9.621331851416368
3666|-4274961.272393066,-6631236.511381627,2127619.2334549404|5145.925591166222,-3288.9185354084966,-1499.3199378987372|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999733471338,-0.0007301074376519537,0|9.621470942983576
3667|-4272519.48962004,-6632796.3596495595,2126907.7216552077|5147.406814893815,-3286.619963366704,-1500.057220199806|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997333259522,-0.0007303065397266384,0|9.621610034606052
3668|-4270044.937965745,-6634375.571217409,2126186.513427132|5148.906727846772,-3284.2904985676973,-1500.8039832118682|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997331805267,-0.0007305056418012942,0|9.621749126283792
3669|-4267568.911530968,-6635954.143381863,2125464.7264797105|5150.4063378699375,-3281.959599103177,-1501.5507748724099|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997330350616,-0.000730704743875921,0|9.6218882180168
3670|-4265122.7788508115,-6637512.1057096645,2124751.5077306023|5151.886668096267,-3279.656795473848,-1502.2881416726264|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997328895569,-0.0007309038459505189,0|9.622027309805071
3671|-4262675.2056016335,-6639069.443533886,2124037.723693412|5153.3667026365165,-3277.352589933192,-1503.0255365824567|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997327440125,-0.0007311029480250879,0|9.622166401648608
3672|-4260194.783345857,-6640646.110056739,2123314.2117988314|5154.865410387845,-3275.0174126089505,-1503.7724140176422|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997325984286,-0.0007313020500996279,0|9.622305493547412
3673|-4257712.880376282,-6642222.1347351,2122590.118868983|5156.363814429757,-3272.6807937640187,-1504.5193204729899|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997324528049,-0.0007315011521741388,0|9.622444585501482
3674|-4255260.93971951,-6643777.57941907,2121874.621051542|5157.842953169179,-3270.372336416306,-1505.2568009782415|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997323071417,-0.0007317002542486208,0|9.622583677510814
3675|-4252807.55269536,-6645332.397201015,2121158.5556815607|5159.321795449903,-3268.062470455411,-1505.9943099528105|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997321614387,-0.0007318993563230737,0|9.622722769575416
3676|-4250289.754325573,-6646926.430255519,2120423.539501468|5160.838248599861,-3265.691912158124,-1506.7507590803077|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999732015696,-0.0007320984583974977,0|9.62286186169528
3677|-4247833.433050978,-6648479.976312892,2119706.3227426517|5162.3164897598745,-3263.3791877302256,-1507.4883259944547|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997318699138,-0.0007322975604718927,0|9.623000953870415
3678|-4245375.661032129,-6650032.8936407585,2118988.5367203713|5163.794433863817,-3261.065049626798,-1508.225921644786|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997317240918,-0.0007324966625462585,0|9.623140046100811
3679|-4242884.89886869,-6651605.078669891,2118260.9674749644|5165.291022970633,-3258.719800390704,-1508.9730030303858|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997315782303,-0.0007326957646205955,0|9.623279138386474
3680|-4240392.645527861,-6653176.617485618,2117532.8131040614|5166.787306939878,-3256.373097531582,-1509.720114074123|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997314323291,-0.0007328948666949033,0|9.623418230727404
3681|-4237930.475238746,-6654727.628786983,2116813.3012372786|5168.264351030593,-3254.0546719248773,-1510.457797201601|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997312863883,-0.0007330939687691822,0|9.623557323123599
3682|-4235435.253933484,-6656297.88146146,2116083.9822666864|5169.760027957038,-3251.705075027762,-1511.2049674537707|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997311404079,-0.0007332930708434319,0|9.623696415575058
3683|-4232938.536933223,-6657867.486011185,2115354.076402297|5171.255399108429,-3249.3540192773103,-1511.952167632667|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997309943878,-0.0007334921729176526,0|9.623835508081783
3684|-4230471.955049025,-6659416.5856484715,2114632.8334753555|5172.731541305638,-3247.031290740386,-1512.6899390295002|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999730848328,-0.0007336912749918443,0|9.623974600643773
3685|-4227972.26108967,-6660984.900236394,2113901.759489134|5174.226304132491,-3244.6773305351517,-1513.4371989474982|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997307022287,-0.0007338903770660067,0|9.62411369326103
3686|-4225471.066900963,-6662552.564765992,2113170.0968328333|5175.720760531845,-3242.3219062237285,-1514.1844890576751|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997305560897,-0.00073408947914014,0|9.624252785933551
3687|-4223000.060047481,-6664099.7470360575,2112447.1176065393|5177.195998911138,-3239.994859263141,-1514.9223495068222|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997304099111,-0.0007342885812142443,0|9.62439187866134
3688|-4220495.879871698,-6665666.117738995,2111714.2832903764|5178.689845674383,-3237.6365200352384,-1515.6696998805105|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997302636928,-0.0007344876832883194,0|9.624530971444393
3689|-4217990.19491542,-6667231.836427671,2110980.858519843|5180.183385342623,-3235.2767114256444,-1516.4170807086696|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997301174349,-0.0007346867853623654,0|9.62467006428271
3690|-4215514.749668941,-6668777.095561415,2110256.137731381|5181.657717935154,-3232.945330481145,-1517.1550309837598|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997299711374,-0.0007348858874363823,0|9.624809157176296
3691|-4213006.069664201,-6670341.516513989,2109521.5377470106|5183.150646625671,-3230.5825964482565,-1517.9024725935292|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997298248002,-0.0007350849895103701,0|9.624948250125145
3692|-4210495.880311002,-6671905.283473862,2108786.345515944|5184.643267538506,-3228.218387735427,-1518.649944916869|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997296784233,-0.0007352840915843288,0|9.62508734312926
3693|-4208015.983198156,-6673448.613635814,2108059.8778787907|5186.1166923307,-3225.8826571796512,-1519.3879857821294|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997295320068,-0.0007354831936582583,0|9.62522643618864
3694|-4205470.967425799,-6675030.852743681,2107314.181905713|5187.627585101708,-3223.485539152677,-1520.1449820479704|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997293855506,-0.0007356822957321586,0|9.625365529303288
3695|-4202988.082271744,-6676572.888180988,2106586.5418019365|5189.100400981587,-3221.14688780207,-1520.8830839849602|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997292390548,-0.0007358813978060297,0|9.6255046224732
3696|-4200471.859370032,-6678134.040787971,2105848.9820883917|5190.5917923565285,-3218.776781325352,-1521.6306796254964|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997290925193,-0.0007360804998798717,0|9.625643715698375
3697|-4197954.11945603,-6679694.536048757,2105110.827117883|5192.082874779996,-3216.4051912723035,-1522.3783064049974|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997289459442,-0.0007362796019536845,0|9.625782808978817
3698|-4195466.759830949,-6681234.632622989,2104381.4312865525|5193.55477939737,-3214.0621640702902,-1523.116500186853|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997287993295,-0.0007364787040274682,0|9.625921902314527
3699|-4192914.0824199324,-6682813.551808917,2103632.728979875|5195.064111808674,-3211.6575532686397,-1523.8736537173352|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997286526752,-0.0007366778061012227,0|9.626060995705501
3700|-4190423.719573413,-6684352.346973593,2102902.1547153|5196.535405153469,-3209.3115876409956,-1524.6119094019903|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997285059812,-0.0007368769081749479,0|9.62620008915174
3701|-4187899.9154585106,-6685910.214383056,2102161.620214322|5198.025253273075,-3206.9340642233683,-1525.3596611767957|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997283592476,-0.000737076010248644,0|9.626283627097687
3702|-4185374.5866202544,-6687467.421029045,2101420.4874234996|5199.514791224357,-3204.5550482688423,-1526.107444506867|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997282124743,-0.0007372751123223108,0|9.626367165098902
3703|-4182879.7265586946,-6689004.267251297,2100688.1484857965|5200.985169717498,-3202.2046803603175,-1526.845793264278|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997280656614,-0.0007374742143959484,0|9.62645070315538
3704|-4180319.348564427,-6690579.849256339,2099936.4245280037|5202.4929356233415,-3199.792531528752,-1527.6031061619017|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997279188089,-0.0007376733164695567,0|9.626534241267123
3705|-4177821.470007702,-6692115.387257564,2099202.9011456426|5203.962700398133,-3197.4392074365496,-1528.3415176351086|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997277719167,-0.0007378724185431359,0|9.626617779434133
3706|-4175257.9929683525,-6693689.626080922,2098449.9611310195|5205.4698363356365,-3195.0240229539977,-1529.098895021561|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997276249849,-0.0007380715206166858,0|9.626701317656408
3707|-4172757.0897651054,-6695223.853093768,2097715.250880687|5206.938986387049,-3192.6677355208967,-1529.8373695314544|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997274780135,-0.0007382706226902064,0|9.626784855933948
3708|-4170222.5993596143,-6696777.088938205,2096970.5231145618|5208.42666198042,-3190.279745402372,-1530.5853435036574|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997273310024,-0.0007384697247636978,0|9.626868394266754
3709|-4167686.5733475806,-6698329.6591230165,2096225.19277118|5209.914025627286,-3187.8902500841405,-1531.3333495988418|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997271839516,-0.0007386688268371599,0|9.626951932654825
3710|-4165149.0101637943,-6699881.562937034,2095479.2592332687|5211.401077066089,-3185.4992477434844,-1532.0813878967556|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997270368611,-0.0007388679289105927,0|9.627035471098162
3711|-4162609.9082411197,-6701432.799666457,2094732.7218826318|5212.887816033486,-3183.106736555056,-1532.8294584767696|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999726889731,-0.0007390670309839962,0|9.62717456515232
3712|-4160069.266010503,-6702983.368594839,2093985.5801001487|5214.37424226435,-3180.7127146908706,-1533.5775614178724|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997267425613,-0.0007392661330573705,0|9.627313659261741
3713|-4157527.081900968,-6704533.269003093,2093237.833265774|5215.860355491755,-3178.3171803203063,-1534.3256967986715|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999726595352,-0.0007394652351307154,0|9.627452753426427
3714|-4155015.5630742097,-6706062.893833475,2092498.9573625042|5217.327349811375,-3175.9504834695317,-1535.0643940141365|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999726448103,-0.0007396643372040309,0|9.62759184764638
3715|-4152438.0817515934,-6707631.061369616,2091740.5219565304|5218.831641859533,-3173.5215667243074,-1535.822065191883|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997263008144,-0.0007398634392773171,0|9.6277309419216
3716|-4149923.5104490262,-6709159.362519896,2091000.4482058045|5220.2980167660935,-3171.1518741142713,-1536.5608268491808|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997261534861,-0.000740062541350574,0|9.627870036252084
3717|-4147342.895186607,-6710726.170960222,2090240.7829759747|5221.801672965454,-3168.7198810690875,-1537.3185642776054|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997260061182,-0.0007402616434238015,0|9.628009130637832
3718|-4144825.265173435,-6712253.145548527,2089499.5089143568|5223.267427376359,-3166.347185428167,-1538.0573906811342|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997258587107,-0.0007404607454969997,0|9.628148225078846
3719|-4142241.50956872,-6713818.591926451,2088738.6113302975|5224.7704466092255,-3163.9121086141677,-1538.8151946708751|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997257112635,-0.0007406598475701686,0|9.628287319575124
3720|-4139720.814594874,-6715344.237049766,2087996.134486991|5226.235579427543,-3161.5364026497036,-1539.5540861219745|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997255637767,-0.0007408589496433082,0|9.628426414126666
3721|-4137133.912229699,-6716908.318376969,2087234.002010773|5227.737960561478,-3159.098234576434,-1540.3119569805212|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997254162503,-0.0007410580517164183,0|9.628565508733478
3722|-4134610.1460298104,-6718432.631111073,2086490.3199076038|5229.202470675875,-3156.71951097467,-1541.0509137774557|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997252686842,-0.0007412571537894991,0|9.628704603395553
3723|-4132020.090470294,-6719995.34437743,2085726.949993718|5230.70421256364,-3154.278244129997,-1541.808851809137|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997251210785,-0.0007414562558625505,0|9.628843698112894
3724|-4129460.841455941,-6721537.842842592,2084972.5063996175|5232.1868646196135,-3151.8659506086965,-1542.557349104654|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997249734331,-0.0007416553579355725,0|9.628982792885498
3725|-4126900.0315602,-6723079.66395027,2084217.4502404602|5233.669200327795,-3149.452122406066,-1543.3058797530393|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997248257481,-0.0007418544600085651,0|9.629121887713369
3726|-4124337.6591869155,-6724620.806946481,2083461.7808840617|5235.151219397587,-3147.036757656777,-1544.0544438278475|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997246780233,-0.0007420535620815284,0|9.629260982596504
3727|-4121773.722737994,-6726161.27107453,2082705.4976972996|5236.632921536544,-3144.6198544928075,-1544.8030414022357|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999724530259,-0.0007422526641544621,0|9.629400077534903
3728|-4119175.7358612884,-6727720.54215886,2081939.0151222085|5238.1330561236855,-3142.170787955124,-1545.5611491080742|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999724382455,-0.0007424517662273665,0|9.629539172528569
3729|-4116641.151211097,-6729240.159685668,2081191.0872954777|5239.5953738428625,-3139.781425435242,-1546.3003373403824|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997242346114,-0.0007426508683002415,0|9.629678267577498
3730|-4114039.9884562865,-6730798.051981021,2080423.3582972111|5241.094865043255,-3137.329233613952,-1547.058513261173|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997240867281,-0.000742849970373087,0|9.629817362681694
3731|-4111502.304155696,-6732316.323675391,2079674.213951132|5242.556554869978,-3134.936820235065,-1547.7977681447571|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997239388052,-0.000743049072445903,0|9.629956457841153
3732|-4108897.959017792,-6733872.834072204,2078905.2359498143|5244.0554014687905,-3132.4814955195498,-1548.5560125703437|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997237908427,-0.0007432481745186896,0|9.630095553055877
3733|-4106324.5845150417,-6735409.200290855,2078145.248609975|5245.535191740635,-3130.055302859163,-1549.3048130860802|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997236428405,-0.0007434472765914467,0|9.630234648325867
3734|-4103749.6346748755,-6736944.882257843,2077384.642973349|5247.014662978418,-3127.627558608152,-1550.0536476031743|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997234947987,-0.0007436463786641744,0|9.630373743651122
3735|-4101140.4835063475,-6738499.305141535,2076613.7786754542|5248.51253626836,-3125.167500307785,-1550.8119957594536|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997233467173,-0.0007438454807368725,0|9.63051283903164
3736|-4098595.0025252425,-6740014.190319133,2075861.5742459518|5249.972647120144,-3122.767407772363,-1551.5514189207772|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997231985962,-0.0007440445828095412,0|9.630651934467428
3737|-4095982.6526002525,-6741567.223412414,2075089.4544452156|5251.469872696833,-3120.3041974060325,-1552.30983629391|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997230504355,-0.0007442436848821804,0|9.630791029958479
3738|-4093434.0496352045,-6743080.751992857,2074336.0246305377|5252.929351411723,-3117.901027861015,-1553.0493270777492|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997229022352,-0.0007444427869547901,0|9.630930125504795
3739|-4090818.494393045,-6744632.392107477,2073562.6467200834|5254.425928006737,-3115.434657740507,-1553.8078139460479|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997227539952,-0.0007446418890273703,0|9.631069221106376
3740|-4088201.3136984934,-6746183.325693397,2072788.6307954576|5255.922175514805,-3112.9666848054867,-1554.5663361068441|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997226057156,-0.000744840991099921,0|9.631208316763223
3741|-4085647.995903626,-6747694.804896247,2072033.3503399685|5257.380699669977,-3110.558866093873,-1555.305929260578|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997224573963,-0.0007450400931724421,0|9.631347412475334
3742|-4083027.599979217,-6749244.340658153,2071258.0723641943|5258.876296256529,-3108.0877217816233,-1556.0645213294733|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997223090373,-0.0007452391952449336,0|9.63148650824271
3743|-4080438.3589742593,-6750773.811469598,2070491.8573018468|5260.35287397224,-3105.6458881066283,-1556.813665834034|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997221606387,-0.0007454382973173956,0|9.63162560406535
3744|-4077847.5263643553,-6752302.590096021,2069725.017476225|5261.829129485593,-3103.202483771007,-1557.5628450225213|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997220122004,-0.000745637399389828,0|9.631764699943258
3745|-4075222.274780459,-6753850.014141702,2068947.833475949|5263.323743097419,-3100.7265476952352,-1558.3215429044735|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997218637225,-0.0007458365014622309,0|9.631903795876427
3746|-4072661.0797936567,-6755358.067563636,2068189.4609330003|5264.780672596876,-3098.3109554455013,-1559.0613077140583|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999721715205,-0.0007460356035346043,0|9.632042891864861
3747|-4070032.5964060635,-6756904.085608459,2067411.0082844615|5266.274631981184,-3095.8318285406267,-1559.820076174238|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997215666478,-0.000746234705606948,0|9.632181987908561
3748|-4067402.474130677,-6758449.390496042,2066631.912273866|5267.768259598517,-3093.3510830527593,-1560.5788804701315|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999721418051,-0.0007464338076792622,0|9.632321084007524
3749|-4064836.5253429804,-6759955.375313429,2065871.673577888|5269.2242267644615,-3090.930795897946,-1561.318749225268|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997212694146,-0.0007466329097515469,0|9.632460180161752
3750|-4062203.161254358,-6761499.269216227,2065091.3049304956|5270.717198119822,-3088.446847822106,-1562.0776244918532|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997211207385,-0.0007468320118238019,0|9.632599276371247
3751|-4059568.153200575,-6763042.447424976,2064310.2908970322|5272.209836669008,-3085.9612751964105,-1562.836535790896|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997209720228,-0.0007470311138960274,0|9.632738372636005
3752|-4056997.4358844566,-6764546.356279466,2063548.1801771186|5273.664838487104,-3083.536275828889,-1563.5765090622601|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997208232675,-0.0007472302159682232,0|9.632877468956028
3753|-4054359.1759713627,-6766088.118466872,2062765.8895005211|5275.156818703879,-3081.047488804925,-1564.3354917166525|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997206744725,-0.0007474293180403894,0|9.633016565331317
3754|-4051719.2669972293,-6767629.162396682,2061982.9514048116|5276.648465056995,-3078.5570712381514,-1565.094510596275|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997205256379,-0.0007476284201125259,0|9.63315566176187
3755|-4049110.736937305,-6769150.237583023,2061209.164034906|5278.121137849505,-3076.0961818191136,-1565.8440773511886|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997203767637,-0.0007478275221846328,0|9.633294758247688
3756|-4046500.5954553047,-6770670.610671307,2060434.7440008204|5279.593484373873,-3073.6336984475965,-1566.5936795547764|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997202278498,-0.0007480266242567101,0|9.633433854788771
3757|-4043855.770363683,-6772209.512642186,2059649.8757765593|5281.08413534832,-3071.138418058621,-1567.3528065805237|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997200788963,-0.0007482257263287577,0|9.63357295138512
3758|-4041242.380612688,-6773728.470093119,2058874.1803977538|5282.555824142499,-3068.672720687241,-1568.1024803136524|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999719929903,-0.0007484248284007756,0|9.633712048036733
3759|-4038627.374440112,-6775246.722902268,2058097.8503574762|5284.027185607283,-3066.205423476603,-1568.8521896769025|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997197808701,-0.000748623930472764,0|9.63385114474361
3760|-4035977.6179785603,-6776783.475153821,2057311.0459113405|5285.516837965391,-3063.705262306075,-1569.6114254023269|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997196317976,-0.0007488230325447226,0|9.633990241505755
3761|-4033326.2004788793,-6778319.5030538235,2056523.5892612631|5287.006153917399,-3061.203456490013,-1570.3706977876516|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997194826854,-0.0007490221346166515,0|9.63412933832316
3762|-4030739.4674950214,-6779816.431992777,2055755.1904160872|5288.457912717355,-3058.7626103853277,-1571.1110237179296|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997193335336,-0.0007492212366885508,0|9.63426843519583
3763|-4028084.764355623,-6781351.026683679,2054966.4436276287|5289.94656316599,-3056.2575503952867,-1571.8703686844897|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997191843422,-0.0007494203387604204,0|9.634407532123767
3764|-4025428.395020103,-6782884.894369032,2054177.042571829|5291.434876089064,-3053.750839678817,-1572.629750490218|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997190351111,-0.0007496194408322603,0|9.634546629106968
3765|-4022803.593517742,-6784398.874399518,2053396.8662984802|5292.904253505421,-3051.2738409387257,-1573.3796762326706|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997188858404,-0.0007498185429040705,0|9.634685726145433
3766|-4020177.163843375,-6785912.143742069,2052616.0506630216|5294.373301042078,-3048.7952285064666,-1574.129638013615|0,0,0|0,0,0|0,0,0|0,0,0|-0.99999971873653,-0.000750017644975851,0|9.634824823239164
3767|-4017515.8272897983,-6787443.843262504,2051824.6990446646|5295.860607568332,-3046.2835947460426,-1574.889129764871|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997185871801,-0.0007502167470476017,0|9.63496392038816
3768|-4014852.8176191063,-6788974.812188336,2051032.6903876667|5297.347575043792,-3043.770302092722,-1575.648658588372|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997184377905,-0.0007504158491193225,0|9.635103017592419
3769|-4012188.1330848923,-6790505.049608885,2050240.0239922593|5298.8342030794065,-3041.2553484845303,-1576.408224541583|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997182883612,-0.0007506149511910137,0|9.635242114851943
3770|-4009588.4514150405,-6791996.325918999,2049466.540308854|5300.283338223699,-3038.801667556805,-1577.1488371493326|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997181388923,-0.000750814053262675,0|9.635381212166731
3771|-4006920.453886507,-6793525.115928957,2048672.5728202409|5301.769294714257,-3036.2834274932484,-1577.9084766007009|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997179893838,-0.0007510131553343066,0|9.635520309536785
3772|-4004250.776286334,-6795053.171705752,2047877.9455052349|5303.2549105947655,-3033.7635203224963,-1578.6681533499363|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997178398357,-0.0007512122574059085,0|9.635659406962104
3773|-4001579.4168596743,-6796580.492326167,2047082.6576599204|5304.740185467562,-3031.2419439705013,-1579.4278674526142|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997176902479,-0.0007514113594774806,0|9.635798504442686
3774|-3998939.7972852215,-6798087.999103913,2046296.662026781|5306.206559373253,-3028.7502472785877,-1580.1781218388355|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997175406204,-0.0007516104615490228,0|9.635937601978535
3775|-3996298.5342598683,-6799594.787190857,2045510.0209060663|5307.672599966112,-3026.2569188455504,-1580.9284127568244|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997173909533,-0.0007518095636205353,0|9.636076699569646
3776|-3993622.161002379,-6801119.91523118,2044712.7638106553|5309.156857968257,-3023.7303643859336,-1581.6882383098948|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997172412465,-0.000752008665692018,0|9.636215797216021
3777|-3990944.0989217707,-6802644.304413969,2043914.8433764826|5310.6407733603755,-3021.202132470504,-1582.4481014325693|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997170915,-0.0007522077677634708,0|9.636354894917663
3778|-3988264.3462525676,-6804167.95380019,2043116.2588944037|5312.124345733908,-3018.672221009975,-1583.2080021780268|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999716941714,-0.0007524068698348938,0|9.636493992674568
3779|-3985616.4297422227,-6805671.83066511,2042327.0043754354|5313.589036437573,-3016.172283213146,-1583.958441135955|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997167918883,-0.000752605971906287,0|9.63663309048674
3780|-3982966.8612159626,-6807174.9842835255,2041537.1009285464|5315.053391846286,-3013.670703539252,-1584.7089168836308|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997166420229,-0.0007528050739776504,0|9.636772188354172
3781|-3980282.068585816,-6808696.427191127,2040736.5367005784|5316.535941302113,-3011.1357830483994,-1585.4689298665226|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997164921179,-0.000753004176048984,0|9.636911286276872
3782|-3977595.578328169,-6810217.126537728,2039935.3055954296|5318.018146093449,-3008.5991746771365,-1586.2289806787564|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997163421733,-0.0007532032781202878,0|9.637050384254835
3783|-3974907.3886668812,-6811737.081368283,2039133.4068986992|5319.500005800702,-3006.0608763208384,-1586.9890693710772|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999997161921891,-0.0007534023801915616,0|9.637189482288063
