time|position|velocity|acceleration|rotation|rotational velocity|sun|charge
3895|-4195085.193015348,-7352871.602189835,2167517.1180983596|5007.739296941829,-2405.43839478045,-1533.9639991237298|0,0,0|0,0,0|0,0,0|-0.9999996991431009,-0.0007757018119833954,0|9.737407059666877
3896|-4192243.065713128,-7354235.900439827,2166646.4365868103|5009.1609502951305,-2402.9455379043984,-1534.698640475804|0,0,0|0,0,0|0,0,0|-0.9999996989886372,-0.0007759009140512445,0|9.737546163944922
3897|-4189399.2350428663,-7355599.213496524,2165775.06341754|5010.582298842589,-2400.4510622102816,-1535.4333271644143|0,0,0|0,0,0|0,0,0|-0.9999996988341338,-0.0007761000161190627,0|9.737685268278227
3898|-4186553.6994953533,-7356961.5401093345,2164902.997942149|5012.003342172569,-2397.954965740635,-1536.1680592292414|0,0,0|0,0,0|0,0,0|-0.9999996986795907,-0.0007762991181868503,0|9.737824372666797
3899|-4183668.9824695494,-7358340.784789333,2164018.7512260466|5013.442771749498,-2395.4243709836965,-1536.9125051371598|0,0,0|0,0,0|0,0,0|-0.999999698525008,-0.0007764982202546071,0|9.737963477110629
3900|-4180820.0101516685,-7359701.121728272,2163145.290059204|5014.863199371978,-2392.925005688785,-1537.6473286700573|0,0,0|0,0,0|0,0,0|-0.9999996983703857,-0.0007766973223223331,0|9.738102581609724
3901|-4177969.3284003036,-7361060.468434897,2162271.134627536|5016.28332052466,-2390.424013703396,-1538.3821976960971|0,0,0|0,0,0|0,0,0|-0.9999996982157238,-0.0007768964243900283,0|9.738186130608527
3902|-4175079.3928064136,-7362436.690125581,2161384.768455652|5017.721814507089,-2387.8884529752227,-1539.1267824852462|0,0,0|0,0,0|0,0,0|-0.9999996980610222,-0.0007770955264576928,0|9.738269679662594
3903|-4172225.2650990314,-7363794.039501058,2160509.2133818152|5019.141317412944,-2385.384180231359,-1539.8617432107474|0,0,0|0,0,0|0,0,0|-0.999999697906281,-0.0007772946285253264,0|9.738353228771922
3904|-4169369.423388792,-7365150.394825375,2159632.9620769615|5020.5605125785605,-2382.878274856729,-1540.5967495423347|0,0,0|0,0,0|0,0,0|-0.9999996977515001,-0.0007774937305929292,0|9.738436777936515
